"imgName", "Annotation"
"01_18", "monkey ear brown bkgr"
"03_n04417672_1074", "redish roof flag sky bkgr"
"07_face_human_13_sh", "Olivia face bluegreen bkgr"
"08-cat-cancer-sq", "Cat face light bkgr"
"09", "macaque face black bkgr"
"11_objects-familiar-17", "yellow dumbbell dark green bkgr"
"17", "monkey hand arm yellow green bkgr"
"Blue-GrayGnatcatcher_sq", "white bluish rounded bird"
"Frigatebird-sq", "black bird silhouette blue sky bkgr"
"Grapes_sq", "grapes white bkgr"
"P1030838", "garden flower scene shadow"
"Shelled-Peanuts_sq", "multi shell peanuts white bkgr"
"apple_sq", "red apple white bkgr"
"block119_gen_Chan247plants_15_backup_tex.jpg_receptive_field",  "evol yellow black eye blue white bkgr"
"gabor.jpg8", "gabor 45 d Black bkgr"
"gabor_ori_0_freq_0.50", "gabor ori 0d freq 0.5"
"gabor_ori_0_freq_1.00", "gabor ori 0d freq 1.0"
"gabor_ori_120_freq_0.50", "gabor ori 120d freq 0.5"
"gabor_ori_120_freq_1.00", "gabor ori 120d freq 1.0"
"gabor_ori_150_freq_0.50", "gabor ori 150d freq 0.5"
"gabor_ori_150_freq_1.00", "gabor ori 150d freq 1.0"
"gabor_ori_30_freq_0.50", "gabor ori 30d freq 0.5"
"gabor_ori_30_freq_1.00", "gabor ori 30d freq 1.0"
"gabor_ori_60_freq_0.50", "gabor ori 60d freq 0.5"
"gabor_ori_60_freq_1.00", "gabor ori 60d freq 1.0"
"gabor_ori_90_freq_0.50", "gabor ori 90d freq 0.5"
"gabor_ori_90_freq_1.00", "gabor ori 90d freq 1.0"
"n03100240_13397", "red car black bkgr green brdr"
"n03450230_4398", "red dress dancer red bkgr"
"n03530642_1271", "multi bee hive texture scene"
"n04435653_449", "roof tiles texture scene"
"n07717556_398", "2 yellow orange pumpkins white bkgr"
"objects-familiar-03", "monkey chair dark bluish bkgr"
"objects-familiar-10", "orange dark gray bkgr"
"objects-familiar-11", "banana dark gray bkgr"
