ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,pref_unit,stim_size,stimuli
NaN,BigGAN,0,,"Generate big gan. Start at 12:40.
CH 20 (-0.5 1) 3 1 hash 
CMAES
'BigGAN_class'  
truncnorm.random([1,128]) * 0.7
Default CMAES parameters
init_sigma = 0.06;
% optim_norm = 0.7;
At block 6, its making a black object (dog, bird, backpack)
Block 10, still black object.
Omg, it might actually be climbing at block 12. Block 17, def climbing! Still black object on white background. I am just going to let it go and see how long it climbs.
Little shakes at 1250.
Still climbing at block 27.
41 blocks complete stop at 1256.  complete
entered into Matlab (BigGan)",Beto-20072020-002,200720_Beto_generate_BigGAN(1),20,NaN,NaN,N:\Stimuli\2020-Evolutions\2020-07-20-Beto-01\2020-07-20-12-40-51
NaN,BigGAN,0,,"Same thing, same pics, just cmaes regular generate int in FC6
Start at 1258.
CH 20 (-0.5, 1) 3 1 CMAES, hash
Block 6, dark reddish evolution, block 10, still dark reddish image, doesn’t really look like much. Possibly starting to climb around 12.
Little nap at 108. Shakes at 112
Still climbing at block 27. But still making a red colored object, not black. Block 34, looking a little dark/black. I think it is done climbing.
Still going up at 39. Stop 42 block at 123.  complete
entered into Matlab (BigGan)",Beto-20072020-003,200720_Beto_generate_integrated,20,NaN,NaN,N:\Stimuli\2020-Evolutions\2020-07-20-Beto-02\2020-07-20-12-58-55
NaN,BigGAN_FC6,1,,"002 at 1014 on 07/22/2020
5 (-0.7, 1) 3 2 CMAES,
fc6
biggan
Completed
Entered into Matlab",Beto-22072020-002,200722_Beto_generate_BigGAN,5,NaN,NaN,N:\Stimuli\2020-BigGAN\2020-07-22-Beto-01\2020-07-22-10-14-22
NaN,BigGAN,2,,"Chan 2 at 11:00 on 07/22/2020
5 (-0.7, 1) 6 2 (bigGAN, first set)
5 (0,0) 6 2 (bigGAN, second set)
We want to see if it will put the feature in the location of the RF
End at 11:34
Drank 350 ml
Margins nice and clean
completed",Beto-22072020-003,200722_Beto_generate_BigGAN(1),5,NaN,NaN,N:\Stimuli\2020-BigGAN\2020-07-22-Beto-02\2020-07-22-11-00-09
NaN,BigGAN_FC6,3,,"002 at 359 PM
29 (-0.8 1) 3 2 CMAES with both
fc6 (1) 
biggan_class (2)
great psths so far",Beto-23072020-002,200723_Beto_generate_BigGAN,29,NaN,NaN,N:\Stimuli\2020-BigGAN\2020-07-23-Beto-01\2020-07-23-15-59-3
NaN,BigGAN_FC6,1,,"002 biggan and fc6 evolution using ch 26 at 229 PM
26 (-1.1,0) 3 1 CMAES with fc6 (first) and BG (second),5/5 hash
good psth
working at 75%, which is damn good
259 PM , 73% has had ~110 cc",Beto-27072020-002,200727_Beto_generate_BigGAN,26,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-27-Beto-01\2020-07-27-14-29-47
NaN,BigGAN_FC6,5,,"003 at 254 PM
generate 15 (-0.5,1) 3 1  using
CMAES for fc6 (first thread) and
CMAES-ZOHA for BigGan, with the latter being the class and noise vector space together
BigGAN  noise x Class  space ZOHA x CMAES evolution
he's at 77% on this experiment.
FC6 is super successful !
Recruit quite a bit of late activity
28 mins in total",Beto-28072020-003,200728_Beto_generate_BigGAN,15,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-28-Beto-01\2020-07-28-14-54-46
NaN,BigGAN,5,,"006 BigGAN generate
BigGAN  Class  space CMAES evolution
BigGAN  noise x Class  space CMAES x CMAES evolution
Seems like the 1st and the 2nd thread found some gradient around gen 21
The images go up and down for a whiile.
180 mL now!",Beto-28072020-006,200728_Beto_generate_BigGAN(1),15,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-28-Beto-02\2020-07-28-15-38-41
NaN,BigGAN_FC6,NaN,,"Big gan generate start at 1028.
CH 28 (0, 0.5) 3 1 CMAES fc6 and bigGan class. No climbing from either at 12 blocks... 🙁
Ugh nothing.....at 19 maybe climbing, let it go a little more. The fc6 evolution looks interesting, just not climbing. Biggan making white dog. Nope... so sad stop at 26 blocks. Neither climbed but images did look kinda similar. 1058",Beto-29072020-002,200729_Beto_generate_BigGAN,28,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-29-Beto-01\2020-07-29-10-28-46
NaN,BigGAN_FC6,NaN,,"Generate big gan start at 11:00.
18 (-0.5, 1) 4 1  CMAES fc6 vs biggan class. Hash. Sounds RV, psth looks good. Lets hope this one climbes.
Lots of shakes to start. Started recording shakes for this exp. Thought it was climbing at 9, maybe not at 12.
Taking naps
Bigan on a slow climb, both dropped at 18. Now back up. YAY! Jumped up at 22. But weird, natural images jumped tooooo......biggan making some sort of circle/round object, fc6 has dark round center. Stop at 1134. 24 blocks.",Beto-29072020-003,200729_Beto_generate_BigGAN(1),18,NaN,4,N:\Stimuli\2020-BigGAN\2020-07-29-Beto-02\2020-07-29-11-00-02
NaN,BigGAN,NaN,,"CH 15 (0, 1) 3 1 CMAES just bigGan class. Hash.
Start at 1137. This one was done yesterday as fc6 vs biggan and biggan did not climb. Trying again with just biggan. Nothing at 13. Hes almost done for the day, blasting him.",Beto-29072020-004,200729_Beto_generate_BigGAN(2),15,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-29-Beto-03\2020-07-29-11-37-30
NaN,BigGAN_FC6,NaN,,"3
GI (1) BigGAN starts 11:07
29 [0 1.5]  3  2  CMAES
FC6,  BigGAN class.
Both starts growing in a sec. BigGAN seems to win.
BigGAN goes to dog space. Grows easily.
FC6 slowly catch up. But lack the late activity bump.
Quite different PSTH. Around gen 18
Still climbing, make CMA a hard foe to beat...
Definitely still BigGAN recruit more late activity.
So score starts to become comparable but PSTH is quite different.
The FC6 space evokes a lot of initial activity and BigGAN does the sustained activity well.
BigGAN is still better but a small gap!
2 threads are quite comparable! And the thing is great!
33 blocks  completed",Beto-31072020-003,200731_Beto_generate_BigGAN(1),29,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-31-Beto-01\2020-07-31-11-07-26
NaN,BigGAN,NaN,,"004  Experimenting new BigGAN Optimizers
GI (2) BigGAN strts 11:47
BigGAN all  CMAES-CMAES
BigGAN  class   CMAES-Hessian
2 threads are quite comparable and evolve from start
Both treads evolve quite well! One has dogs one has some abstrct stuff.
Already 300mL
Grow again around 18gens
Around 27 gens he fins som enew gradient Evoke transient activity now
33 blocks completed",Beto-31072020-004,200731_Beto_generate_BigGAN(2),29,NaN,3,N:\Stimuli\2020-BigGAN\2020-07-31-Beto-02\2020-07-31-11-47-58
