ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,stim_size,pref_unit,stimuli
NaN,Manifold,1,,"Derived from PCs of Ch 29 evolution 191002. 373 images {11*11 in PC2,PC3; PC49 PC50; RND RND space respectively, +10 last gen} 
003 started at 324, Binxu manifold
374 unique images, and he's not fixating great, so we may not finish this experiment in terms of enough reps
must work until 4 PM at least
terribly behaved. Increased reward to 170 ms. He's good at training me…
completed",Beto64chan-02102019-003,191002_Beto_selectivity_basic(1),29,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Selectivity\2019-10-02a-beto
NaN,Manifold,1,,"CMA Evolution of Ch 29 191002. generate PCs for later PC space tuning 
Testing Binxu's PC-sampling method
started at 234 PM
Ch. 29 (-0.5,0) 3 1, SU 2/5
evolution continues to go up as of block 27
performance is low: 318/1037. Oof
256, shake and bake 
increased fixation window to 1-deg radius
2:34, 33 blocks completed, seems to be rising still
314, increased reward to 70 + acquisition
Completed
entered into matlab",Beto64chan-02102019-001,191002_Beto_generate_parallel,29,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191002a\backup_10_02_2019_14_33_18
NaN,Manifold,2,,"Derived from PCs of Ch 6 evolution 191003(CRP). Fewer Reps 408 images {11*11 in PC2,PC3; PC49 PC50; RND12 space respectively, +10 last gen +12 gabor + 23 reference image}  002 manifold selectivity
started at 234 PM,
alas, not working well. Has done 33 trials. We need many many more…
192 correct trials in 20 minutes
307 correct trials in 30 minutes. Ok, that's  10 trials a minute. Another 10 minutes?",Beto64chan-03102019-002,191003_Beto_selectivity_basic,6,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Selectivity\2019-10-03a-beto
NaN,Manifold,2,,"CMA Evolution of Ch 6 191003(CRP). generate PCs for later PC space tuning  001 parallel evolution
Ch 6 (-0.5,0) 3 1 SU 1/5
7 MINUTES in, he's at 20%, because he keeps trying to drift to the center of the image, and his fixation window prevents him from doing so
23 minutes in, 207 PM, 26%
43 minutes in, currently on block 36.
he pretty much shakes the chair continuously now, bangs the collar chain about
46 minutes in, block 39.
70 rew baseline, 15 per consecutive trial, up to 155
completed
entered into matlab",Beto64chan-03102019-001,191003_Beto_generate_parallel,6,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191003a\backup_10_03_2019_13_42_32
NaN,Manifold,3,,"Derived from PCs of Ch 5 evolution 191007(CRP). Fewer Reps 373 images {11*11 in PC2,PC3; PC49 PC50; RND12 space respectively,  005
finishing around 3:15 PM, so that's 1 hour and 45 minutes or so",Beto64chan-07102019-005,191007_Beto_selectivity_basic(1),5,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Selectivity\2019-10-07a-beto
NaN,Manifold,3,,"CMA Evolution of Ch 5 191007(CRP). generate PCs for later PC space tuning Evolution, 
003
(2)
Ch 5 (-0.5,0) 3 1 , MU 3/5
shakey, oh so shakey. May be training day.
monkey misbehaving, will stop at block 20 and try to do
nice evo
completed",Beto64chan-07102019-003,191007_Beto_generate_parallel(2),5,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191007a\backup_10_07_2019_14_03_46
NaN,Manifold,4,,"Derived from PCs of Ch 20 evolution 191008(CRP). Fewer Reps 363 images {11*11 in PC2,PC3; PC49 PC50; RND12 space respectively,
006 - selectivity with manifold
1246, shakes begin, 100 cc consumed
91 correct trials, block one completed
48% performance, took almost 10 minutes for this block. Oof.
will try to get to block 5 (4 * 91 + 1 = 365  correct trials)
113 PM, block 5 (424 correct trials), bumped him up to 200 ms rew + acquisition
he's had almost 200 cc.",Beto64chan-08102019-006,191008_Beto_selectivity_basic,20,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191008a\backup_10_08_2019_12_14_29\PC_imgs
NaN,Manifold,4,,"CMA Evolution of Ch 20 191008(CRP). generate PCs for later PC space tuning
003
1214 PM
Chan 20 (-0.5,0) 3 1
hash 4/5
seems very visually responsive
7 minutes in, 13 blocks, 62%
shroud of turin face evolved
completed
entered into matlab",Beto64chan-08102019-004,191008_Beto_generate_parallel(2),20,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191008a\backup_10_08_2019_12_14_29
NaN,Manifold,5,,"Derived from PCs of Ch 19 evolution 191009(BXW). Fewer Reps 363 images {11*11 in PC2,PC3; PC49 PC50; RND12 space respectively,
003
Selectivity 
Perform really well and quick 
Start 14:54PM 
320: has done 5 full reps
has been working for 1 hour 40 minutes
Norm 401
nice evo
completed",Beto64chan-09102019-003,191009_Beto_selectivity_basic,19,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Selectivity\2019-10-09a-beto
NaN,Manifold,5,,"CMA Evolution of Ch 19 191009(CRP). generate PCs for later PC space tuning
002 
Chan 19 (-0.5,0) 3 1
MU 5/5
started at 150 PM
69% performance. 
evolution plateauing early…
it's rising very slowly. Trying to make a little face.
minute 25, generation 41, still not a super stimulus
super stimulus as of two generations ago (225 PM)
it's been 35 minutes so here come the shakes
Completed",Beto64chan-09102019-002,191009_Beto_generate_parallel(1),19,3,NaN,\\storage1.ris.wustl.edu\crponce\Active\Stimuli\2019-Manifold\beto-191009a\backup_10_09_2019_13_49_17
